1900; 907250; 1899; 119639012
1900; 908685; 1899; 117949878
1900; 895550; 1899; 120580161
1900; 898492; 1899; 118684831
2000; 972173; 1999; 124183244
2000; 990449; 1999; 127963665
2000; 1018659; 1999; 141201189
2000; 987080; 1999; 130089395
2000; 980873; 1999; 129346064
2000; 992142; 1999; 130715432
2000; 1001834; 1999; 131404304
2000; 999668; 1999; 130779664
2000; 1005649; 1999; 130100566
2000; 1008680; 1999; 132260275
2100; 1104398; 2099; 144304839
2100; 1112523; 2099; 146680518
2100; 1102731; 2099; 145090991
2100; 1083968; 2099; 142821436
2100; 1117810; 2099; 145811515
2100; 1130851; 2099; 145046774
2100; 1078934; 2099; 142230774
2100; 1110070; 2099; 145128228
2100; 1087552; 2099; 141038280
2100; 1112378; 2099; 146562758
2200; 1199607; 2199; 158516559
2200; 1197047; 2199; 152537332
2200; 1237813; 2199; 161136602
2200; 1215797; 2199; 167480746
2200; 1205189; 2199; 159295265
2200; 1247396; 2199; 163316326
2200; 1206905; 2199; 160869431
2200; 1196495; 2199; 157414363
2200; 1231301; 2199; 159160748
2200; 1208747; 2199; 158887992
2300; 1343604; 2299; 174587305
2300; 1315310; 2299; 169292761
2300; 1318822; 2299; 170810142
2300; 1311891; 2299; 170123597
2300; 1317346; 2299; 170302797
2300; 1342877; 2299; 176059072
2300; 1338315; 2299; 172918185
2300; 1304962; 2299; 169432862
2300; 1337632; 2299; 173612643
2300; 1343105; 2299; 171280251
2400; 1455096; 2399; 187028436
2400; 1409836; 2399; 185386779
2400; 1471524; 2399; 192062792
2400; 1460505; 2399; 186509920
2400; 1445973; 2399; 188008683
2400; 1436147; 2399; 182412525
2400; 1447798; 2399; 191837977
2400; 1439044; 2399; 186940000
2400; 1498485; 2399; 194355154
2400; 1453833; 2399; 188502996
2500; 1574032; 2499; 201787066
2500; 1562199; 2499; 208238264
2500; 1567716; 2499; 202194804
2500; 1571869; 2499; 207226832
2500; 1569742; 2499; 206438352
2500; 1557934; 2499; 201728419
2500; 1550550; 2499; 214606612
2500; 1583448; 2499; 211239049
2500; 1569135; 2499; 200983226
2500; 1569965; 2499; 202217611
2600; 1681294; 2599; 216189157
2600; 1673959; 2599; 239133734
2600; 1687023; 2599; 224817286
2600; 1658070; 2599; 211463398
2600; 1712247; 2599; 222906130
2600; 1692154; 2599; 221851410
2600; 1643009; 2599; 213036634
2600; 1692266; 2599; 219191338
2600; 1684378; 2599; 217073520
2600; 1714412; 2599; 224174958
2700; 1795747; 2699; 234773821
2700; 1802240; 2699; 233316484
2700; 1873949; 2699; 244621907
2700; 1834823; 2699; 236437822
2700; 1821502; 2699; 240986708
2700; 1831044; 2699; 236586767
2700; 1799094; 2699; 230629415
2700; 1822481; 2699; 238558432
2700; 1790775; 2699; 230937081
2700; 1855470; 2699; 242370038
2800; 1990346; 2799; 257288783
2800; 2011470; 2799; 262120200
2800; 1957999; 2799; 255294312
2800; 2017911; 2799; 266393538
2800; 1931191; 2799; 250437294
2800; 2001404; 2799; 262133234
2800; 1941877; 2799; 251459898
2800; 1954555; 2799; 253036857
2800; 1936539; 2799; 254098559
2800; 1975747; 2799; 257425162
2900; 2065546; 2899; 272180998
2900; 2088001; 2899; 269156010
2900; 2097533; 2899; 272858234
2900; 2106639; 2899; 275303732
2900; 2168137; 2899; 286064573
2900; 2100900; 2899; 273234322
2900; 2150946; 2899; 283268589
2900; 2076726; 2899; 268419661
2900; 2071300; 2899; 267290003
2900; 2105032; 2899; 270976403
3000; 2270342; 2999; 296048571
3000; 2291675; 2999; 302534679
3000; 2265472; 2999; 294535844
3000; 2243627; 2999; 287115104
3000; 2244570; 2999; 291287903
3000; 2310421; 2999; 297257821
3000; 2232193; 2999; 289673707
3000; 2231715; 2999; 290931365
3000; 2225013; 2999; 289947860
3000; 2240006; 2999; 287346434
3100; 2391744; 3099; 307023056
3100; 2391348; 3099; 312118851
3100; 2352022; 3099; 297863378
3100; 2414024; 3099; 308231841
3100; 2369473; 3099; 304967609
