100; 644; 367; 4380857
100; 873; 250; 1632349
100; 707; 336; 1344232
100; 618; 245; 1084044
100; 634; 279; 1059840
100; 663; 291; 1224610
100; 603; 259; 3152523
100; 639; 328; 923461
100; 810; 308; 796858
100; 724; 348; 689803
200; 1729; 766; 1607214
200; 1546; 607; 1636538
200; 1623; 825; 2566050
200; 1617; 783; 2085236
200; 1404; 672; 1351214
200; 1539; 693; 1370298
200; 1535; 768; 1073804
200; 1638; 758; 1113367
200; 1417; 670; 802909
200; 1526; 774; 1009570
300; 2588; 1004; 1284655
300; 2813; 1160; 1137570
300; 2554; 1209; 1333993
300; 2497; 1213; 910894
300; 2669; 1300; 4437643
300; 2609; 1118; 958836
300; 2422; 1103; 876451
300; 2391; 1155; 873193
300; 2427; 1166; 911360
300; 2539; 1133; 878778
400; 4010; 1933; 1428945
400; 3874; 1713; 1270691
400; 3614; 1611; 1480611
400; 3869; 1638; 1214837
400; 3626; 1462; 1045411
400; 4262; 2210; 880640
400; 3329; 1504; 717731
400; 3653; 1434; 659549
400; 3774; 1858; 969077
400; 4081; 2383; 1056116
500; 4497; 2169; 898792
500; 5273; 2176; 1005382
500; 5012; 2294; 1297222
500; 4598; 2359; 1013295
500; 4356; 1863; 1185978
500; 4467; 2040; 998866
500; 5051; 2338; 2590720
500; 4714; 2128; 1823650
500; 4902; 2091; 1769658
500; 5184; 2768; 1845992
600; 5844; 2686; 1907898
600; 6013; 2833; 1846458
600; 5939; 2272; 1119418
600; 5878; 2041; 3571898
600; 6506; 3070; 1405207
600; 5690; 2574; 745658
600; 5490; 2381; 1462458
600; 5986; 2847; 1233920
600; 6491; 2277; 808959
600; 5573; 2379; 1173411
700; 7687; 2949; 1381468
700; 6666; 3086; 874589
700; 7330; 3351; 936960
700; 7157; 3425; 938821
700; 8146; 3030; 1581614
700; 7681; 3342; 955112
700; 7670; 3201; 2655417
700; 6977; 3414; 2091753
700; 7032; 2622; 859694
700; 6967; 3187; 1655622
800; 8016; 3819; 1243695
800; 8903; 4421; 1454545
800; 8760; 4149; 1175273
800; 7857; 3811; 1061701
800; 8233; 3758; 1065891
800; 8358; 3107; 959767
800; 8016; 3862; 1946065
800; 8584; 3765; 3524887
800; 7972; 3344; 4944057
800; 8446; 3879; 1312116
900; 8908; 4124; 1766865
900; 9172; 4086; 1167825
900; 9205; 4322; 1361455
900; 9873; 4349; 1280930
900; 9720; 4619; 2089425
900; 9757; 5020; 2467839
900; 10026; 3787; 1457338
900; 9639; 3778; 1142225
900; 10100; 5483; 1741730
900; 9449; 4229; 1202269
1000; 11945; 4507; 1678429
1000; 10544; 4478; 1655621
1000; 11666; 6446; 1712873
1000; 10291; 4346; 1321425
1000; 11517; 5701; 2749905
1000; 10908; 4779; 2782952
1000; 10686; 5206; 3909352
1000; 12167; 7144; 1680291
1000; 11486; 4723; 1366575
1000; 11893; 5906; 4327330
1100; 13147; 5333; 1934428
1100; 13171; 4959; 2821119
1100; 13653; 6975; 3432261
1100; 11616; 5143; 2988217
1100; 11659; 5311; 2715461
1100; 12446; 6652; 2987287
1100; 11636; 4886; 1684480
1100; 12724; 6443; 1554152
1100; 12651; 5031; 2186705
1100; 12280; 5530; 2241164
1200; 14549; 6371; 2827171
1200; 13000; 5567; 2096873
1200; 12492; 4972; 2596770
1200; 13557; 5551; 1099869
1200; 14253; 6468; 1893469
1200; 13038; 5914; 2312378
1200; 13479; 6614; 2260247
1200; 15228; 5825; 2169483
1200; 13744; 6110; 2057308
1200; 13508; 5891; 1976319
1300; 15168; 6564; 2088028
1300; 14422; 6252; 1268828
1300; 14654; 7089; 2460392
1300; 14925; 7643; 2627490
1300; 14880; 6859; 1726836
1300; 18451; 9129; 2957963
1300; 15564; 8066; 1673774
1300; 16742; 6973; 2490646
1300; 15118; 6406; 1895331
1300; 14690; 7254; 2764799
1400; 16294; 6999; 2361250
1400; 16912; 6558; 3541177
1400; 16225; 7884; 4229585
1400; 15351; 7119; 3909817
1400; 15172; 6887; 2799243
1400; 15501; 6244; 2182516
1400; 17098; 8542; 2956101
1400; 15160; 7286; 2296553
1400; 15448; 7351; 2628421
1400; 15971; 6980; 4730414
1500; 17153; 8530; 1557876
1500; 19960; 11180; 2192756
1500; 18323; 8548; 1587200
1500; 17818; 8797; 1986559
1500; 17955; 8718; 1610938
1500; 16921; 7422; 1710545
1500; 17897; 9090; 2206720
1500; 16793; 8177; 1507141
1500; 17505; 8933; 2462719
1500; 18660; 8714; 2672173
1600; 19394; 7092; 1778036
1600; 18689; 7486; 1482007
1600; 22177; 9604; 1793862
1600; 21441; 7891; 1637934
1600; 18922; 9064; 2307258
1600; 18529; 9162; 2970996
1600; 20308; 9537; 3053846
1600; 18965; 8028; 1896261
1600; 17952; 8116; 1602094
1600; 17747; 7994; 1562996
1700; 21276; 9923; 2285846
1700; 20549; 8605; 2989148
1700; 18845; 8038; 2238836
1700; 20042; 9632; 3163694
1700; 19682; 8762; 2755490
1700; 19385; 9008; 1719854
